Team,Rank,Freq,order,txt,Season,Round
St Kilda,4,1.4500000000000002,15,1,2019,9
St Kilda,3,0.48,16,<1,2019,9
St Kilda,2,0.08,17,<1,2019,9
St Kilda,1,0.03,18,<1,2019,9
Brisbane Lions,12,9.71,1,10,2019,9
Brisbane Lions,11,9.67,2,10,2019,9
Brisbane Lions,13,9.49,3,9,2019,9
Brisbane Lions,10,9.27,4,9,2019,9
Brisbane Lions,9,9.17,5,9,2019,9
Brisbane Lions,8,7.95,6,8,2019,9
Brisbane Lions,14,7.739999999999999,7,8,2019,9
Brisbane Lions,7,7.68,8,8,2019,9
Brisbane Lions,6,7.19,9,7,2019,9
Brisbane Lions,5,5.46,10,5,2019,9
Brisbane Lions,15,5.08,11,5,2019,9
Brisbane Lions,4,4.09,12,4,2019,9
Brisbane Lions,3,2.8000000000000003,13,3,2019,9
Brisbane Lions,16,2.26,14,2,2019,9
Brisbane Lions,2,1.31,15,1,2019,9
Brisbane Lions,17,0.7000000000000001,16,<1,2019,9
Brisbane Lions,1,0.38999999999999996,17,<1,2019,9
Brisbane Lions,18,0.04,18,<1,2019,9
Footscray,15,10.530000000000001,1,11,2019,9
Footscray,13,10.32,2,10,2019,9
Footscray,16,10.22,3,10,2019,9
Footscray,14,10.14,4,10,2019,9
Footscray,12,9.629999999999999,5,10,2019,9
Footscray,11,9.04,6,9,2019,9
Footscray,10,8.21,7,8,2019,9
Footscray,9,6.890000000000001,8,7,2019,9
Footscray,17,6.0600000000000005,9,6,2019,9
Footscray,8,5.96,10,6,2019,9
Footscray,7,4.390000000000001,11,4,2019,9
Footscray,6,3.0700000000000003,12,3,2019,9
Footscray,5,2.06,13,2,2019,9
Footscray,18,1.52,14,2,2019,9
Footscray,4,1.13,15,1,2019,9
Footscray,3,0.61,16,<1,2019,9
Footscray,2,0.22,17,<1,2019,9
Footscray,1,NA,NA,,2019,9
Fremantle,11,9.41,1,9,2019,9
Fremantle,14,9.13,2,9,2019,9
Fremantle,12,9,3,9,2019,9
Fremantle,13,8.870000000000001,4,9,2019,9
Fremantle,9,8.74,5,9,2019,9
Fremantle,10,8.559999999999999,6,9,2019,9
Fremantle,15,8.09,7,8,2019,9
Fremantle,8,7.99,8,8,2019,9
Fremantle,7,6.88,9,7,2019,9
Fremantle,6,5.81,10,6,2019,9
Fremantle,5,5.029999999999999,11,5,2019,9
Fremantle,16,4.84,12,5,2019,9
Fremantle,4,3.29,13,3,2019,9
Fremantle,3,1.72,14,2,2019,9
Fremantle,17,1.72,14,2,2019,9
Fremantle,2,0.54,15,<1,2019,9
Fremantle,18,0.36,16,<1,2019,9
Fremantle,1,0.02,17,<1,2019,9
Adelaide,4,13.719999999999999,1,14,2019,9
Adelaide,3,13.08,2,13,2019,9
Adelaide,5,12.280000000000001,3,12,2019,9
Adelaide,6,10.68,4,11,2019,9
Adelaide,7,9.139999999999999,5,9,2019,9
Adelaide,8,7.35,6,7,2019,9
Adelaide,2,6.75,7,7,2019,9
Adelaide,9,6.16,8,6,2019,9
Adelaide,10,5.24,9,5,2019,9
Adelaide,11,4.18,10,4,2019,9
Adelaide,12,3.16,11,3,2019,9
Adelaide,13,2.85,12,3,2019,9
Adelaide,14,2.01,13,2,2019,9
Adelaide,1,1.41,14,1,2019,9
Adelaide,15,1.23,15,1,2019,9
Adelaide,16,0.67,16,<1,2019,9
Adelaide,17,0.09,17,<1,2019,9
Adelaide,18,NA,NA,,2019,9
Essendon,9,10.100000000000001,1,10,2019,9
Essendon,8,9.99,2,10,2019,9
Essendon,10,9.42,3,9,2019,9
Essendon,11,9.049999999999999,4,9,2019,9
Essendon,7,8.870000000000001,5,9,2019,9
Essendon,6,7.9,6,8,2019,9
Essendon,12,7.739999999999999,7,8,2019,9
Essendon,5,6.7299999999999995,8,7,2019,9
Essendon,13,5.89,9,6,2019,9
Essendon,4,5.3,10,5,2019,9
Essendon,14,4.93,11,5,2019,9
Essendon,15,3.9,12,4,2019,9
Essendon,3,3.75,13,4,2019,9
Essendon,16,2.77,14,3,2019,9
Essendon,17,1.6500000000000001,15,2,2019,9
Essendon,2,1.55,16,2,2019,9
Essendon,18,0.36,17,<1,2019,9
Essendon,1,0.1,18,<1,2019,9
North Melbourne,17,20.54,1,21,2019,9
North Melbourne,16,15.53,2,16,2019,9
North Melbourne,18,14.84,3,15,2019,9
North Melbourne,15,10.6,4,11,2019,9
North Melbourne,14,8.06,5,8,2019,9
North Melbourne,13,7.16,6,7,2019,9
North Melbourne,12,5.949999999999999,7,6,2019,9
North Melbourne,11,4.52,8,5,2019,9
North Melbourne,10,3.9699999999999998,9,4,2019,9
North Melbourne,9,2.94,10,3,2019,9
North Melbourne,8,2.33,11,2,2019,9
North Melbourne,7,1.6500000000000001,12,2,2019,9
North Melbourne,6,1.1400000000000001,13,1,2019,9
North Melbourne,5,0.5499999999999999,14,<1,2019,9
North Melbourne,4,0.13999999999999999,15,<1,2019,9
North Melbourne,3,0.08,16,<1,2019,9
North Melbourne,1,NA,NA,,2019,9
North Melbourne,2,NA,NA,,2019,9
Port Adelaide,4,10.54,1,11,2019,9
Port Adelaide,5,10.17,2,10,2019,9
Port Adelaide,6,9.67,3,10,2019,9
Port Adelaide,7,9.66,4,10,2019,9
