Game,Date,Round,Home.Team,Home.Goals,Home.Behinds,Home.Points,Away.Team,Away.Goals,Away.Behinds,Away.Points,Venue,Margin,Season,Round.Type,Round.Number,seas_rnd,First.Game,round.name,Finals,status,Home.Venue.Exp,Away.Venue.Exp,Home.Interstate,Away.Interstate,Home.Factor,Away.Factor,Home.ELO_pre,Away.ELO_pre,Home.ELO,Away.ELO,Probability,Prediction
41,1897-07-17,11,Carlton,2,4,16,Geelong,9,12,66,Princes Park,-50,1897,Regular,11,1897.11,FALSE,NA,NA,NA,5,1,FALSE,FALSE,1,0,1480.1437273819097,1513.323606141358,1478.2562812823364,1515.2110522409312,0.2804526150926157,-23
42,1897-07-17,11,Collingwood,0,8,8,Sydney,2,15,27,Victoria Park,-19,1897,Regular,11,1897.11,FALSE,NA,NA,NA,5,1,FALSE,TRUE,1,0,1504.0240040153021,1508.1224079798415,1500.2886087541622,1511.8578032409814,0.5550364429628507,6
43,1897-07-17,11,Essendon,9,8,62,Fitzroy,4,6,30,East Melbourne,32,1897,Regular,11,1897.11,FALSE,NA,NA,NA,5,1,FALSE,FALSE,1,0,1516.691238254268,1496.0921317908378,1518.238386779311,1494.5449832657948,0.7701116604690966,31
44,1897-07-17,11,St Kilda,1,7,13,Melbourne,10,11,71,Junction Oval,-58,1897,Regular,11,1897.11,FALSE,NA,NA,NA,7,1,FALSE,FALSE,1,0,1474.2169677890338,1507.3859166474492,1472.217696153178,1509.385188283305,0.2970685937378611,-21
45,1897-07-24,12,Carlton,2,6,18,Melbourne,5,16,46,M.C.G.,-28,1897,Regular,12,1897.12,FALSE,NA,NA,NA,2,7,FALSE,FALSE,1,0,1478.2562812823364,1509.385188283305,1477.0729044028362,1510.5685651628053,0.17583608907879694,-38
46,1897-07-24,12,Fitzroy,4,4,28,Collingwood,3,17,35,Brunswick St,-7,1897,Regular,12,1897.12,FALSE,NA,NA,NA,6,1,FALSE,FALSE,1,0,1494.5449832657948,1500.2886087541622,1490.8465264812264,1503.9870655387306,0.5495478134574319,5
47,1897-07-24,12,Essendon,13,16,94,St Kilda,0,3,3,East Melbourne,91,1897,Regular,12,1897.12,FALSE,NA,NA,NA,6,1,FALSE,FALSE,1,0,1518.238386779311,1472.217696153178,1518.8689053134249,1471.587177619064,0.9063122534749163,57
48,1897-07-24,12,Sydney,5,2,32,Geelong,6,8,44,Lake Oval,-12,1897,Regular,12,1897.12,FALSE,NA,NA,NA,6,1,TRUE,FALSE,1,0,1511.8578032409814,1515.2110522409312,1508.0009250754451,1519.0679304064674,0.5730873945819182,8
49,1897-07-31,13,Carlton,8,11,59,St Kilda,3,7,25,Princes Park,34,1897,Regular,13,1897.13,FALSE,NA,NA,NA,6,1,FALSE,FALSE,1,0,1477.0729044028362,1471.587177619064,1479.3842309019112,1469.275851119989,0.6565636702711902,17
50,1897-07-31,13,Collingwood,5,13,43,Melbourne,3,10,28,Victoria Park,15,1897,Regular,13,1897.13,FALSE,NA,NA,NA,6,1,FALSE,FALSE,1,0,1503.9870655387306,1510.5685651628053,1507.074531577947,1507.4810991235888,0.5412383299827067,5
